District,School Site,Co/Dist Code,Site Code,Enrollment,Certified Staff,Grades  (Low-High),Telephone,Mailing Address,City,State,Zip,County,Principal,Principal Email,latitude,longitude
ENID,COOLIDGE ES,24-I057,120,537,39,PK-05,(580) 366-7550,1515 East Ash Ave,Enid,OK,73701,GARFIELD,Jennifer Cruz,jrcruz@enidk12.org,33.080693,-96.884767
ENID,EISENHOWER ES,24-I057,125,161,14,PK-05,(580) 366-8100,1301 Fox Drive,Enid,OK,73703,GARFIELD,Polly Maxwell,pemaxwell@enidk12.org,35.234482,-97.39553
ENID,GARFIELD ES,24-I057,130,623,47,PK-05,(580) 366-7700,400 N. 7th St,Enid,OK,73701,GARFIELD,Jane Johnson,jmjohnson@enidk12.org,35.669318,-97.326244
ENID,GLENWOOD ES,24-I057,132,488,38,PK-05,(580) 366-7800,824 North Oakwood Road,Enid,OK,73703,GARFIELD,James Rainey,jbrainey@enidk12.org,35.513302,-97.526867
ENID,HAYES ES,24-I057,137,308,23,PK-05,(580) 366-7650,2102 Beverly Drive,Enid,OK,73703,GARFIELD,Lyntel Murphy,lamurphy@enidk12.org,35.524551,-97.504953
ENID,HOOVER ES,24-I057,140,329,30,PK-05,(580) 366-7350,2800 West Maine Ave,Enid,OK,73703,GARFIELD,Karen Heizer,kkheizer@enidk12.org,35.637714,-97.52029
ENID,MCKINLEY ES,24-I057,160,310,24,PK-05,(580) 366-7400,1701 West Broadway Ave,Enid,OK,73703,GARFIELD,Kay Kiner,klkiner@enidk12.org,35.749186,-95.369723
ENID,MONROE ES,24-I057,165,415,36,PK-05,(580) 366-7500,400 West Cottonwood Ave,Enid,OK,73701,GARFIELD,M. Scott Allen,msallen@enidk12.org,33.080693,-96.884767
ENID,PRAIRIE VIEW ES,24-I057,170,558,35,PK-05,(580) 366-8000,4700 W. Willow Road,Enid,OK,73703,GARFIELD,Clark Koepping,cskoepping@enidk12.org,32.996381,-97.193029
ENID,TAFT ES,24-I057,175,351,27,PK-05,(580) 366-7450,1002 Sequoyah Drive,Enid,OK,73703,GARFIELD,Peggy Kenaga,pakenaga@enidk12.org,35.6377,-97.563649
ENID,EMERSON MS,24-I057,505,421,38,06-08,(580) 366-7250,700 West Elm Ave,Enid,OK,73701,GARFIELD,Candice Wojciechowsky,cawojciechowsky@enidk12.org,33.080693,-96.884767
ENID,LONGFELLOW MS,24-I057,510,514,44,06-08,(580) 366-8200,900 East Broadway Ave,Enid,OK,73701,GARFIELD,Scott Fitzgerald,sdfitzgerald@enidk12.org,33.080693,-96.884767
ENID,DEWITT WALLER MS,24-I057,515,718,51,06-08,(580) 366-7900,2604 West Randolph Ave,Enid,OK,73703,GARFIELD,Adam Beauchamp,albeauchamp@enidk12.org,35.479365,-97.559259
ENID,ENID HS,24-I057,705,1827,155,09-12,(580) 366-8300,611 West Wabash Ave,Enid,OK,73701,GARFIELD,Jim Beierschmitt,jdbeierschmitt@enidk12.org,33.080693,-96.884767
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER ES,55-Z001,970,2064,191,PK-05,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120,OKLAHOMA,David Kincaid,david.kincaid@epiccharterschools.org,35.595173,-97.594279
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER MS,55-Z001,971,1338,8,06-08,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120,OKLAHOMA,Pam Beck,pam.beck@epiccharterschools.org,35.595173,-97.594279
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER HS,55-Z001,972,2635,0,09-12,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120,OKLAHOMA,Jennifer Banfield,jennifer.banfield@epiccharterschools.org,35.595173,-97.594279
EUFAULA,EUFAULA ES,49-I001,120,588,43,PK-05,(918) 689-2682,1717 W. Jm Bailey Hwy,Eufaula,OK,74432,MCINTOSH,Brenda Lewis,bglewis@eufaula.k12.ok.us,35.486788,-97.586997
EUFAULA,EUFAULA MS,49-I001,505,270,32,06-08,(918) 689-2711,1717 W. Jm Bailey Hwy,Eufaula,OK,74432,MCINTOSH,Chris Whelan,cjwhelan@eufaula.k12.ok.us,35.486788,-97.586997
EUFAULA,EUFAULA HS,49-I001,710,326,40,09-12,(918) 689-2556,1717 W. Jm Bailey Hwy,Eufaula,OK,74432,MCINTOSH,Michael Tamez,mtamez@eufaula.k12.ok.us,35.486788,-97.586997
FAIRLAND,FAIRLAND ES,58-I031,105,332,28,PK-05,(918) 676-3224,202 West Washington Ave,Fairland,OK,74343,OTTAWA,Angie Wade,awade@fairlandowls.com,35.520022,-97.506618
FAIRLAND,FAIRLAND MS,58-I031,510,126,23,06-08,(918) 676-3246,202 West Washington Ave,Fairland,OK,74343,OTTAWA,Jerry Johnson,jjohnson@fairlandowls.com,35.520022,-97.506618
FAIRLAND,FAIRLAND HS,58-I031,705,180,23,09-12,(918) 676-3246,202 West Washington Ave,Fairland,OK,74343,OTTAWA,Jerry Johnson,jjohnson@fairlandowls.com,35.520022,-97.506618
FAIRVIEW,CORNELSEN ES,44-I084,105,402,29,PK-05,(580) 227-2561,408 East Broadway,Fairview,OK,73737,MAJOR,Mark Vanmeter,mvm@auroraok.org,35.478985,-97.50522
FAIRVIEW,CHAMBERLAIN MS,44-I084,510,148,25,06-08,(580) 227-2555,408 E. Broadway,Fairview,OK,73737,MAJOR,Cheryl Hasty,cahasty@auroraok.org,35.425089,-97.514048
FAIRVIEW,FAIRVIEW HS,44-I084,705,182,28,09-12,(580) 227-4446,408 East Broadway,Fairview,OK,73737,MAJOR,Brian Hamar,hamar@auroraok.org,35.478985,-97.50522
FELT,FELT ES,13-I010,105,65,11,PK-08,(580) 426-2220,101 South Lincoln,Felt,OK,73937,CIMARRON,Christopher May,chris.may@feltps.org,35.477142,-97.500546
FELT,FELT HS,13-I010,705,28,7,09-12,(580) 426-2220,101 South Lincoln,Felt,OK,73937,CIMARRON,Christopher May,cmay.feltps@ptsi.net,35.477142,-97.500546
FLOWER MOUND,FLOWER MOUND PUBLIC SCHOOL,16-C048,105,333,20,PK-05,(580) 353-4088,2805 Southeast Flower Mound Road,Lawton,OK,73501,COMANCHE,Dax Trent,dtrent@flowermound.k12.ok.us,33.168575,-96.867012
FORT GIBSON,FORT GIBSON INTERMEDIATE ES,51-I003,105,353,28,03-05,(918) 478-2465,500 South Ross Ave,Fort Gibson,OK,74434,MUSKOGEE,Sherry Rybolt,s_rybolt@ftgibson.k12.ok.us,35.780951,-95.239579
FORT GIBSON,FORT GIBSON EARLY LRNING CTR,51-I003,110,487,50,PK-02,(918) 478-4841,500 South Ross Ave,Fort Gibson,OK,74434,MUSKOGEE,Shelly Holderby,s_holderby@ftgibson.k12.ok.us,35.780951,-95.239579
FORT GIBSON,FORT GIBSON MS,51-I003,505,412,39,06-08,(918) 478-2471,500 South Ross Ave,Fort Gibson,OK,74434,MUSKOGEE,Gregory Phares,g_phares@ftgibson.k12.ok.us,35.780951,-95.239579
FORT GIBSON,FORT GIBSON HS,51-I003,705,603,54,09-12,(918) 478-2452,500 South Ross Ave,Fort Gibson,OK,74434,MUSKOGEE,Gary Sparks,g_sparks@ftgibson.k12.ok.us,35.780951,-95.239579
FORT SUPPLY,FORT SUPPLY ES,77-I005,105,117,22,PK-08,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841,WOODWARD,Melva Little,melva@fortsupply.k12.ok.us,35.48522,-97.507144
FORT SUPPLY,FORT SUPPLY HS,77-I005,705,30,12,09-12,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841,WOODWARD,Melva Little,melva@fortsupply.k12.ok.us,35.48522,-97.507144
FREDERICK,FREDERICK ES,71-I158,105,470,37,PK-05,(580) 335-3513,817 N. 15Th,Frederick,OK,73542,TILLMAN,Kay Cabaniss,kcabaniss@frederickbombers.net,35.484836,-97.502008
FREDERICK,FREDERICK MS,71-I158,505,179,29,06-08,(580) 335-2014,817 N. 15Th,Frederick,OK,73542,TILLMAN,Jeremy Newton,jnewton@frederickbombers.net,35.484836,-97.502008
FREDERICK,FREDERICK HS,71-I158,710,214,30,09-12,(580) 335-5521,817 N. 15th,Frederick,OK,73542,TILLMAN,Randy Biggs,rbiggs@frederickbombers.net,35.484836,-97.502008
FRIEND,FRIEND PUBLIC SCHOOL,26-C037,105,259,19,PK-08,(405) 224-3822,1307 County Road 1350,Chickasha,OK,73018,GRADY,Alton Rawlins,amrawlins@friend.k12.ok.us,35.049833,-97.929043
FRINK-CHAMBERS,FRINK-CHAMBERS PUBLIC SCHOOL,61-C029,105,445,30,PK-08,(918) 423-2434,485 Frink Rd,Mcalester,OK,74501,PITTSBURG,Scott Burke,sburke@frink.k12.ok.us,35.470819,-97.161557
GEARY,GEARY ES,06-I080,105,233,22,PK-05,(405) 884-2442,221 S. Galena,Geary,OK,73040,BLAINE,Melissa Malloy,mmalloy@geary.k12.ok.us,35.469418,-97.505295
GEARY,GEARY MS,06-I080,500,73,19,06-08,(405) 884-2289,311 S. Blaine,Geary,OK,73040,BLAINE,Jim Shelton,jshelton@geary.k12.ok.us,35.484837,-97.506805
GEARY,GEARY HS,06-I080,715,99,23,09-12,(405) 884-2362,300 S. Blaine,Geary,OK,73040,BLAINE,Jim Shelton,jshelton@geary.k12.ok.us,35.480006,-97.507114
GERONIMO,GERONIMO ES,16-I004,105,195,14,PK-06,(580) 353-0882,800 West Main St,Geronimo,OK,73543,COMANCHE,Amy Latimer,alatimer@geronimo.k12.ok.us,35.467443,-97.526036
GERONIMO,GERONIMO MS,16-I004,505,48,10,07-08,(580) 355-3160,800 West Main St,Geronimo,OK,73543,COMANCHE,Heath Selcer,hselcer@geronimo.k12.ok.us,35.467443,-97.526036
GERONIMO,GERONIMO HS,16-I004,705,89,13,09-12,(580) 355-3160,800 West Main St,Geronimo,OK,73543,COMANCHE,Heath Selcer,hselcer@geronimo.k12.ok.us,35.467443,-97.526036
GLENCOE,GLENCOE ES,60-I101,105,248,21,PK-08,(580) 669-2254,201 East Lone Chimney,Glencoe,OK,74032,PAYNE,Tammy Lane,tlane@glencoe.k12.ok.us,35.482917,-97.500237
GLENCOE,GLENCOE HS,60-I101,705,107,15,09-12,(580) 669-2261,201 East Lone Chimney,Glencoe,OK,74032,PAYNE,Chad Speer,cspeer@glencoe.k12.ok.us,35.482917,-97.500237
GLOVER,GLOVER PUBLIC SCHOOL,48-C023,105,59,8,PK-08,(580) 420-3232,701 Lavender Rd.,Broken Bow,OK,74728,MCCURTAIN,Tanya Whisenhunt,twhisenhunt@freeriver.org,35.486743,-97.500479
GORE,GORE ES,68-I006,105,217,22,PK-05,(918) 489-5638,1200 North Hwy 10,Gore,OK,74435,SEQUOYAH,Tonya Pugh,pught@gorepublicschools.org,35.593686,-97.490246
GORE,GORE UPPER ES,68-I006,115,106,22,06-08,(918) 489-5587,1200 North Highway 10,Gore,OK,74435,SEQUOYAH,Beverly Robison,brobison@gorepublicschools.org,35.593686,-97.490246
GORE,GORE HS,68-I006,715,126,23,09-12,(918) 489-5587,1200 North Highway 10,Gore,OK,74435,SEQUOYAH,Beverly Robison,brobison@gorepublicschools.org,35.593686,-97.490246
GRAHAM-DUSTIN,GRAHAM ES,54-I054,105,51,15,05-08,(918) 652-8935,116118 Hwy 84,Weleetka,OK,74880,OKFUSKEE,Linda Riddle,lriddle@graham-dustin.k12.ok.us,35.479882,-97.505577
GRAHAM-DUSTIN,DUSTIN ES,54-I054,110,71,11,PK-04,(918) 652-8935,116118 Hwy 84,Weleetka,OK,74880,OKFUSKEE,C J Buesser,cbuesser@graham-dustin.k12.ok.us,35.479882,-97.505577
GRAHAM-DUSTIN,DUSTIN ES,54-I054,110,71,11,PK-04,(918) 652-8935,116118 Hwy 84,Weleetka,OK,74880,OKFUSKEE,Joe Cummings,jcummings@dustin.k12.ok.us,35.479882,-97.505577
GRAHAM-DUSTIN,GRAHAM HS,54-I054,705,64,12,09-12,(918) 652-8935,116118 Hwy 84,Weleetka,OK,74880,OKFUSKEE,Linda Riddle,lriddle@graham-dustin.k12.ok.us,35.479882,-97.505577
GRAND VIEW,GRAND VIEW PUBLIC SCHOOL,11-C034,105,630,59,PK-08,(918) 456-5131,15481 North Jarvis Road,Tahlequah,OK,74464,CHEROKEE,Allen Rule,arule@grandview.k12.ok.us,36.122299,-94.85896
GRAND VIEW,GRAND VIEW PUBLIC SCHOOL,11-C034,105,630,59,PK-08,(918) 456-5131,15481 North Jarvis Road,Tahlequah,OK,74464,CHEROKEE,Steve Gillman,sgillman@grandview.k12.ok.us,36.122299,-94.85896
GRANDVIEW,GRANDVIEW PUBLIC SCHOOL,69-C082,105,141,6,PK-08,(580) 439-2467,Box 277062 E. 1840 Rd.,Comanche,OK,73529,STEPHENS,Gary Wade,garywade@grandviewschool.k12.ok.us,35.487266,-97.50635
GREASY,GREASY PUBLIC SCHOOL,01-C032,105,90,11,PK-08,(918) 696-7768,Rural Route 1 Box 1589,Bunch,OK,74931,ADAIR,Michael Wolfe,michael.wolfe@greasy.k12.ok.us,35.481788,-97.498011
GREENVILLE,GREENVILLE PUBLIC SCHOOL,43-C003,105,135,11,PK-08,(580) 276-2968,4671 Wolfpac Rd,Marietta,OK,73448,LOVE,Jason Midkiff,jmidkiff@greenville.k12.ok.us,35.662719,-97.548168
GROVE,GROVE PUBLIC SCHOOL,63-C027,105,461,33,PK-08,(405) 275-7435,2800 North Bryan Ave,Shawnee,OK,74804,POTTAWATOMIE,Sheril Payne,spayne@grove.k12.ok.us,35.381185,-96.930349
GUTHRIE,FOGARTY ES,42-I001,110,570,43,02-03,(405) 282-5932,902 North Wentz St,Guthrie,OK,73044,LOGAN,Marsha Todd,marsha.todd@guthrieps.net,35.88708,-97.423585
GUTHRIE,COTTERAL ES,42-I001,120,423,28,PK-KG,(405) 282-5928,2001 West Noble Ave,Guthrie,OK,73044,LOGAN,Scot Graham,scot.graham@guthrieps.net,35.880423,-97.425732
GUTHRIE,GUTHRIE UPPER ES,42-I001,125,765,58,04-06,(405) 282-5924,702 North Crooks Drive,Guthrie,OK,73044,LOGAN,Susan Davison,susan.davison@guthrieps.net,35.878823,-97.425026
GUTHRIE,CENTRAL ES,42-I001,130,272,23,01-01,(405) 282-0352,321 East Noble Ave,Guthrie,OK,73044,LOGAN,Dani Watson,dani.watson@guthrieps.net,35.880414,-97.4251
GUTHRIE,GUTHRIE JHS,42-I001,610,495,49,07-08,(405) 282-5936,705 East Oklahoma Ave,Guthrie,OK,73044,LOGAN,Robbie Rainwater,robbie.rainwater@guthrieps.net,35.877697,-97.417103
GUTHRIE,GUTHRIE HS,42-I001,705,1012,75,09-12,(405) 282-5906,200 North Crooks Drive,Guthrie,OK,73044,LOGAN,Chris Legrande,chris.legrande@guthrieps.net,35.85948,-97.426943
GUYMON,ACADEMY ES,70-I008,105,416,34,03-04,(580) 338-4370,712 North Academy,Guymon,OK,73942,TEXAS,Jana Schreiner,jana.schreiner@guymontigers.com,35.484277,-97.500213
GUYMON,ACADEMY ES,70-I008,105,416,34,03-04,(580) 338-4370,712 North Academy,Guymon,OK,73942,TEXAS,Jana Schriener,jana.schreiner@guymontigers.com,35.484277,-97.500213
GUYMON,NORTHEAST ES,70-I008,115,173,16,KG-02,(580) 338-4380,220 Medical Drive,Guymon,OK,73942,TEXAS,Melissa Watson,melissa.watson@guymontigers.com,35.48522,-97.50782
GUYMON,HOMER LONG ES,70-I008,120,235,19,KG-02,(580) 338-4380,1500 N Beaver,Guymon,OK,73942,TEXAS,Meilssa Watson,melissa.watson@guymontigers.com,35.483911,-97.505541
GUYMON,HOMER LONG ES,70-I008,120,235,19,KG-02,(580) 338-4380,1500 N Beaver,Guymon,OK,73942,TEXAS,Melissa Watson,melissa.watson@guymontigers.com,35.483911,-97.505541
GUYMON,SALYER ES,70-I008,125,129,15,KG-02,(580) 338-0420,North 1st Ellison,Guymon,OK,73942,TEXAS,Loire Aubrey,loire.aubrey@guymontigers.com,35.466752,-97.534053
GUYMON,CARRIER ES,70-I008,130,170,12,PK-PK,(580) 338-0420,103 N Perkins,Guymon,OK,73942,TEXAS,Loire Aubrey,loire.aubrey@guymontigers.com,35.483865,-97.5082
GUYMON,NORTH PARK ES,70-I008,135,427,34,05-06,(580) 338-4390,1400 North Crumley,Guymon,OK,73942,TEXAS,Mark Strickland,mark.strickland@guymontigers.com,35.482766,-97.504003
GUYMON,PRAIRIE ES,70-I008,140,193,21,KG-02,(580) 338-0420,1501 E Hwy 3,Guymon,OK,73942,TEXAS,Loire Aubrey,loire.aubrey@guymontigers.com,35.422536,-97.543843
GUYMON,CENTRAL JHS,70-I008,610,427,45,07-08,(580) 338-4360,801 North Beaver,Guymon,OK,73942,TEXAS,Claudia Winters,claudia.winters@guymontigers.com,35.4746,-97.498505
GUYMON,GUYMON HS,70-I008,705,848,69,09-12,(580) 338-4350,1900 North James,Guymon,OK,73942,TEXAS,Randy Williams,randy.williams@guymontigers.com,35.48391,-97.509047
GYPSY,GYPSY PUBLIC SCHOOL,19-C012,105,82,11,PK-08,(918) 324-5365,30899 South 417th West Ave,Depew,OK,74028,CREEK,Rachel Collins,rcollins@gypsy.k12.ok.us,35.50367,-97.520636
HARMONY,HARMONY PUBLIC SCHOOL,03-C021,105,200,20,PK-08,(580) 889-3687,490 South Bentley Road,Atoka,OK,74525,ATOKA,Brian Walker,bwalker@harmonyps.org,34.367441,-96.140552
HARRAH,RUSSELL BABB ES,55-I007,105,288,30,04-05,(405) 454-6213,20901 Northeast Tenth St,Harrah,OK,73045,OKLAHOMA,Brad Hurley,bhurley@harrahschools.com,35.403445,-97.16093
HARRAH,CLARA REYNOLDS ES,55-I007,110,344,26,02-03,(405) 454-6201,755 Harrison St,Harrah,OK,73045,OKLAHOMA,Cheryl Hessman,chessman@harrahschools.com,35.475972,-97.167719
HARRAH,VIRGINIA SMITH ES,55-I007,115,451,27,PK-01,(405) 454-3638,20227 Northeast Tenth St,Harrah,OK,73045,OKLAHOMA,Doug Parker,dparker@harrahschools.com,35.482188,-97.172225
HARRAH,HARRAH MS,55-I007,505,453,42,06-08,(405) 454-2406,20665 Walker St,Harrah,OK,73045,OKLAHOMA,Dianna Hilburn,dhilburn@harrahschools.com,35.488687,-97.170539
HARRAH,HARRAH HS,55-I007,705,598,54,09-12,(405) 454-2416,20370 Elm St,Harrah,OK,73045,OKLAHOMA,Kenneth Riddle,kriddle@harrahschools.com,35.547248,-97.411106
HARTSHORNE,HARTSHORNE ES,61-I001,105,365,29,PK-05,(918) 297-2345,821 Arapahoe St,Hartshorne,OK,74547,PITTSBURG,Brian Akins,bakins@hartshorne.k12.ok.us,35.621879,-97.527719
HARTSHORNE,HARTSHORNE MS,61-I001,510,181,29,06-08,(918) 297-2433,520 South Fifth St,Hartshorne,OK,74547,PITTSBURG,Jason Lindley,jlindley@hartshorne.k12.ok.us,35.429113,-97.502634
HARTSHORNE,HARTSHORNE HS,61-I001,705,256,31,09-12,(918) 297-2536,520 South Fifth St,Hartshorne,OK,74547,PITTSBURG,Mike Reddick,mreddick@hartshorne.k12.ok.us,35.429113,-97.502634
HASKELL,MARY WHITE ES,51-I002,110,396,29,PK-05,(918) 482-1402,408 West Franklin,Haskell,OK,74436,MUSKOGEE,Scott Mccullah,smccullah@haskellps.org,35.486311,-97.507483
HASKELL,HASKELL MS,51-I002,505,196,32,06-08,(918) 482-5221,900 North Ohio,Haskell,OK,74436,MUSKOGEE,Kurt Scullawl,kscullawl@haskellps.org,35.476585,-97.503587
HASKELL,HASKELL HS,51-I002,715,244,28,09-12,(918) 482-5223,900 North Ohio,Haskell,OK,74436,MUSKOGEE,Kurt Scullawl,kscullawl@haskellps.org,35.476585,-97.503587
HAWORTH,HAWORTH ES,48-I006,105,278,24,PK-05,(580) 245-1406,300 N. Maple St,Haworth,OK,74740,MCCURTAIN,Jeannie Gail Sylvia,gsylvia@haworth.k12.ok.us,35.480006,-97.507114
HAWORTH,HAWORTH MS,48-I006,510,127,24,06-08,(580) 245-1406,300 N. Maple St,Haworth,OK,74740,MCCURTAIN,,,35.480006,-97.507114
HAWORTH,HAWORTH MS,48-I006,510,127,24,06-08,(580) 245-1406,300 N. Maple St,Haworth,OK,74740,MCCURTAIN,Brandy Wall,bwall@haworth.k12.ok.us,35.480006,-97.507114
HAWORTH,HAWORTH HS,48-I006,705,178,28,09-12,(580) 245-1406,300 N. Maple St,Haworth,OK,74740,MCCURTAIN,Brandy Wall,bwall@haworth.k12.ok.us,35.480006,-97.507114
HAYWOOD,HAYWOOD PUBLIC SCHOOL,61-C088,105,131,15,PK-08,(918) 423-6265,11461 West State Hwy 31,Mcalester,OK,74501,PITTSBURG,Roger Smith,rsmith@haywood.k12.ok.us,34.931137,-95.740312
HENNESSEY,HENNESSEY LOWER ES,37-I016,105,417,35,PK-04,(405) 853-4305,130 North Mitchell Ave,Hennessey,OK,73742,KINGFISHER,Barry Crosswhite,bcrosswhite@hps.k12.ok.us,36.110707,-97.897193
HENNESSEY,HENNESSEY UPPER ES,37-I016,110,245,30,05-08,(405) 853-4303,120 North Mitchell Ave,Hennessey,OK,73742,KINGFISHER,Stacey Schovanec,staceyschovanec@hps.k12.ok.us,36.110707,-97.897193
HENNESSEY,HENNESSEY HS,37-I016,705,262,32,09-12,(405) 853-4394,707 East Oklahoma St,Hennessey,OK,73742,KINGFISHER,Brady Barnes,bbarnes@hps.k12.ok.us,36.110707,-97.897193
HENRYETTA,HENRYETTA ES,56-I002,105,687,48,PK-05,(918) 652-6587,1801 Troy Aikman Dr,Henryetta,OK,74437,OKMULGEE,Kelly Furer,kfurer@henryetta.k12.ok.us,35.445566,-96.006232
HENRYETTA,HENRYETTA MS,56-I002,505,258,30,06-08,(918) 652-6578,1801 Troy Aikman Dr,Henryetta,OK,74437,OKMULGEE,Brad Wion,bradw@henryetta.k12.ok.us,35.445566,-96.006232
HENRYETTA,HENRYETTA HS,56-I002,705,307,32,09-12,(918) 652-6571,1801 Troy Aikman Dr,Henryetta,OK,74437,OKMULGEE,Scott Bein,sbein@henryetta.k12.ok.us,35.445566,-96.006232
HILLDALE,HILLDALE LOWER ES,51-I029,105,535,37,PK-02,(918) 683-9167,500 East Smith Ferry Road,Muskogee,OK,74403,MUSKOGEE,Kair Ridenhour,kridenhour@hilldaleps.org,35.697891,-95.366507
HILLDALE,HILLDALE UPPER ES,51-I029,110,398,33,03-05,(918) 683-1101,500 East Smith Ferry Road,Muskogee,OK,74403,MUSKOGEE,Kair Ridenhour,kridenhour@hilldaleps.org,35.697891,-95.366507
HILLDALE,HILLDALE MS,51-I029,505,414,37,06-08,(918) 683-0763,500 East Smith Ferry Road,Muskogee,OK,74403,MUSKOGEE,Darren Riddle,driddle@hilldaleps.org,35.697891,-95.366507
HILLDALE,HILLDALE HS,51-I029,705,525,48,09-12,(918) 683-3253,500 East Smith Ferry Road,Muskogee,OK,74403,MUSKOGEE,Deborah Tennison,dtennison@hilldaleps.org,35.697891,-95.366507
HOLDENVILLE,ETHEL REED ES,32-I035,120,455,30,PK-03,(405) 379-6618,210 Grimes St,Holdenville,OK,74848,HUGHES,Danielle Patterson,dpatterson@holdenville.k12.ok.us,35.48324,-97.508197
HOLDENVILLE,THOMAS IES,32-I035,130,384,45,04-08,(405) 379-6661,210 Grimes St,Holdenville,OK,74848,HUGHES,Mark Turner,markturner@holdenville.k12.ok.us,35.48324,-97.508197
HOLDENVILLE,HOLDENVILLE HS,32-I035,705,283,37,09-12,(405) 379-3387,210 Grimes St,Holdenville,OK,74848,HUGHES,Travis Graham,tgraham@holdenville.k12.ok.us,35.48324,-97.508197
HOLLY CREEK,HOLLY CREEK PUBLIC SCHOOL,48-C072,105,225,21,PK-08,(580) 420-6968,401 Holly Creek Road,Broken Bow,OK,74728,MCCURTAIN,Harvey Brumley,hbrumley@hollycreek.org,34.019199,-94.744349
HOMINY,HORACE MANN ES,57-I038,105,219,19,01-05,(918) 885-6255,200 South Pettit Ave,Hominy,OK,74035,OSAGE,Angel Supernaw,asupernaw@hominy.k12.ok.us,35.48428,-97.508668
HOMINY,HOMINY EARLY CHILDHOOD CENTER,57-I038,110,81,5,PK-KG,(918) 885-6813,200 South Pettit Ave,Hominy,OK,74035,OSAGE,Kelly Dyer,kdyer@hominy.k12.ok.us,35.48428,-97.508668
HOMINY,HOMINY MS,57-I038,505,138,18,06-08,(918) 885-6253,200 South Pettit Ave,Hominy,OK,74035,OSAGE,Scott Harmon,sharmon@hominy.k12.ok.us,35.48428,-97.508668
HOMINY,HOMINY HS,57-I038,705,163,20,09-12,(918) 885-2141,200 South Pettit Ave,Hominy,OK,74035,OSAGE,Doyle Edwards,ed@hominy.k12.ok.us,35.48428,-97.508668
HUGO,HUGO ES,12-I039,135,462,34,PK-03,(580) 326-8373,208 N 2Nd St,Hugo,OK,74743,CHOCTAW,Nancy Welch,nwelch@hugoschools.com,35.141366,-97.396381
HUGO,HUGO INTERMEDIATE,12-I039,140,171,15,04-05,(580) 326-0106,208 N 2Nd St,Hugo,OK,74743,CHOCTAW,Vivian Shanklin,vshanklin@hugoschools.com,35.141366,-97.396381
HUGO,HUGO MS,12-I039,510,220,28,06-08,(580) 326-3365,208 N 2Nd St,Hugo,OK,74743,CHOCTAW,Anna Pate,apate@hugoschools.com,35.141366,-97.396381
HUGO,HUGO HS,12-I039,705,314,27,09-12,(580) 326-9648,208 N 2Nd St,Hugo,OK,74743,CHOCTAW,Earl Dalke,edalke@hugoschools.com,35.141366,-97.396381
HYDRO-EAKLY,HYDRO-EAKLY ES,08-I011,105,239,22,PK-05,(405) 663-2619,407 East Seventh St,Hydro,OK,73048,CADDO,Jeremy Tharp,jtharp@hydroeakly.k12.ok.us,35.484839,-97.505321
HYDRO-EAKLY,HYDRO-EAKLY MS,08-I011,505,96,19,06-08,(405) 663-2246,407 East Seventh St,Hydro,OK,73048,CADDO,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,35.484839,-97.505321
HYDRO-EAKLY,HYDRO-EAKLY HS,08-I011,715,118,20,09-12,(405) 663-2246,407 East Seventh St,Hydro,OK,73048,CADDO,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,35.484839,-97.505321
IDABEL,CENTRAL ES,48-I005,110,322,31,02-05,(580) 286-5346,200 Ne Ave C,Idabel,OK,74745,MCCURTAIN,Nancy Copeland,ncopeland@idabelps.org,35.220115,-97.337756
IDABEL,IDABEL PRIMARY SOUTH ES,48-I005,120,290,20,PK-01,(580) 286-4400,200 Ne Ave C,Idabel,OK,74745,MCCURTAIN,Terri Bastible,tbastible@idabelps.org,35.220115,-97.337756
IDABEL,IDABEL MS,48-I005,505,231,34,06-08,(580) 286-6558,200 Ne Ave C,Idabel,OK,74745,MCCURTAIN,Laura Bullock,lbullock@idabelps.org,35.220115,-97.337756
IDABEL,IDABEL HS,48-I005,710,407,44,09-12,(580) 286-7693,200 Ne Ave C,Idabel,OK,74745,MCCURTAIN,Alan Bryant,abryant@idabelps.org,35.220115,-97.337756
INDIAHOMA,INDIAHOMA ES,16-I002,105,148,21,PK-08,(580) 246-3333,307 Chebahtah,Indiahoma,OK,73552,COMANCHE,Greg Ellis,greg.ellis@indiahomaps.org,34.61988081182,-98.7520996220926
INDIAHOMA,INDIAHOMA HS,16-I002,705,63,13,09-12,(580) 246-3333,307 Chebahtah,Indiahoma,OK,73552,COMANCHE,Greg Ellis,gellis@indiahoma.k12.ok.us,34.61988081182,-98.7520996220926
JENKS,JENKS EAST ES,72-I005,110,2030,163,PK-04,(918) 299-4411,205 East B St,Jenks,OK,74037,TULSA,Ryan Glaze,ryan.glaze@jenksps.org,36.026262,-95.969154
