CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,latitude,longitude
41331777,STARBUCKS COFFEE,MANHATTAN,2195,FREDERICK DOUGLAS BOULEVARD,10026,2126621239,Café/Coffee/Tea,40.800982,-73.958353
41331780,STARBUCKS COFFEE,MANHATTAN,229,SEVENTH AVENUE,10011,2122558750,Café/Coffee/Tea,40.744435,-73.995175
41331796,STARBUCKS COFFEE,MANHATTAN,201,WEST 125 STREET,10027,2122222872,Café/Coffee/Tea,40.809223,-73.948518
41332043,STARBUCKS,QUEENS,14,WEST WING,11430,7184255680,CafÃ©/Coffee/Tea,40.665967,-73.808061
41348358,STARBUCKS COFFEE,MANHATTAN,350,5 AVENUE,10118,2122685471,Café/Coffee/Tea,40.671983,-73.984226
41350705,STARBUCKS COFFEE,MANHATTAN,1740,BROADWAY,10019,2129048817,American,40.764911,-73.981951
41350902,STARBUCKS,QUEENS,1111,131 STREET,11356,7189396300,American,40.786501,-73.83755
41352773,STARBUCKS,QUEENS,0,JFK DELTA AIRLINES,11422,7184255680,Café/Coffee/Tea,40.773345,-73.868734
41366512,STARBUCKS COFFEE,MANHATTAN,130,FULTON STREET,10038,2129620439,Café/Coffee/Tea,40.710523,-74.008964
41366519,STARBUCKS COFFEE,MANHATTAN,1411,6 AVENUE,10019,2126641305,Café/Coffee/Tea,40.763037,-73.979833
41374102,STARBUCKS COFFEE,MANHATTAN,240,PARK AVENUE SOUTH,10003,2123751416,Café/Coffee/Tea,40.738013,-73.988347
41394943,STARBUCKS COFFEE,MANHATTAN,110,CHURCH STREET,10007,2125131451,Café/Coffee/Tea,40.713507,-74.009269
41403280,STARBUCKS,QUEENS,254 - 41,HORACE HARDING EXPRESSWAY,11362,7184282489,Café/Coffee/Tea,40.764443,-73.726346
41432599,STARBUCKS,QUEENS,8000,UTOPIA PARKWAY,11432,7189901716,Café/Coffee/Tea,40.72462,-73.790752
41436109,STARBUCKS COFFEE,MANHATTAN,575,5 AVENUE,10017,2124903189,Café/Coffee/Tea,40.756391,-73.978206
41443646,STARBUCKS COFFEE,MANHATTAN,227,WEST 27 STREET,10001,2122175776,Café/Coffee/Tea,40.747213,-73.994865
41496092,STARBUCKS COFFEE,MANHATTAN,45,WEST 4 STREET,10012,2129953443,Café/Coffee/Tea,40.731422,-74.000582
41524468,STARBUCKS COFFEE,MANHATTAN,1491,LEXINGTON AVENUE,10029,2123690313,Café/Coffee/Tea,40.785956,-73.950649
41563203,STARBUCKS,BROOKLYN,379,DEKALB AVENUE,11205,7186875872,Café/Coffee/Tea,40.690176,-73.962825
41567009,STARBUCKS,QUEENS,3101,BROADWAY,11106,7187771305,Café/Coffee/Tea,40.761796,-73.924718
41588301,STARBUCKS,BRONX,50,WEST 225 STREET,10463,7185613749,Café/Coffee/Tea,40.873556,-73.908318
41600154,STARBUCKS COFFEE,MANHATTAN,122,GREENWICH AVENUE,10011,2123664672,Café/Coffee/Tea,40.739211,-74.002365
41600160,STARBUCKS COFFEE,MANHATTAN,11011109,AVENUE OF THE AMERICAS,10036,2123823917,Café/Coffee/Tea,40.755008,-73.983763
41608825,STARBUCKS COFFEE,MANHATTAN,345,EAST 69 STREET,10021,2124731312,Café/Coffee/Tea,40.766075,-73.957633
41614732,STARBUCKS COFFEE,MANHATTAN,695,PARK AVENUE,10065,2127724281,Café/Coffee/Tea,40.768737,-73.965182
41616408,STARBUCKS COFFEE,MANHATTAN,180,WEST BROADWAY,10013,2123437402,Café/Coffee/Tea,40.72108,-74.004654
41617377,STARBUCKS COFFEE,MANHATTAN,1585,BROADWAY,10036,2125417515,Café/Coffee/Tea,40.760217,-73.985321
41618756,STARBUCKS COFFEE,MANHATTAN,525,WEST 120 STREET,10027,2126783810,American,40.810103,-73.960643
41631435,STARBUCKS COFFEE,BROOKLYN,5400,AVENUE U,11234,7182533100,Café/Coffee/Tea,40.628562,-73.923579
41638429,STARBUCKS COFFEE,MANHATTAN,977,AVENUE OF THE AMERICAS,10018,2126952915,American,40.75094,-73.98718
41642874,STARBUCKS COFFEE,MANHATTAN,1140,BROADWAY,10001,2122136519,Café/Coffee/Tea,40.743899,-73.988641
41664769,STARBUCKS,BROOKLYN,134,MONTAGUE STREET,11201,7182430455,CafÃ©/Coffee/Tea,40.694446,-73.994024
41669940,STARBUCKS,QUEENS,9420,GUY R BREWER BOULEVARD,11433,3042426200,CafÃ©/Coffee/Tea,40.701782,-73.79527
41672122,STARBUCKS COFFEE,MANHATTAN,805,COLUMBUS AVENUE,10025,2122226582,CafÃ©/Coffee/Tea,40.794715,-73.966765
41672128,STARBUCKS,BROOKLYN,348,FULTON STREET,11201,7184881719,CafÃ©/Coffee/Tea,40.69172,-73.988562
41672131,STARBUCKS,QUEENS,8651,BROADWAY,11373,7185652021,CafÃ©/Coffee/Tea,40.737592,-73.877407
41687898,STARBUCKS COFFEE,MANHATTAN,50,LEXINGTON AVE,10010,2122542794,CafÃ©/Coffee/Tea,40.74044,-73.984301
41687902,STARBUCKS COFFEE,MANHATTAN,1301,AVENUE OF THE AMERICAS,10019,2129740902,CafÃ©/Coffee/Tea,40.761576,-73.979558
41687909,STARBUCKS COFFEE,MANHATTAN,600,MADISON AVENUE,10022,2127591569,CafÃ©/Coffee/Tea,40.762942,-73.972531
41687913,STARBUCKS COFFEE,MANHATTAN,350,WEST 42 STREET,10036,2122444176,CafÃ©/Coffee/Tea,40.758043,-73.992134
41688653,STARBUCKS COFFEE,MANHATTAN,1,PACE PLAZA,10038,2123461200,CafÃ©/Coffee/Tea,40.711667,-74.005424
41689569,STARBUCKS HERALD SQUARE CAFE,MANHATTAN,151,WEST 34 STREET,10001,2122390342,CafÃ©/Coffee/Tea,40.751046,-73.99033
41690493,STARBUCKS COFFEE,MANHATTAN,135,JOHN STREET,10038,2123440894,CafÃ©/Coffee/Tea,40.707157,-74.004951
41690495,STARBUCKS COFFEE,MANHATTAN,219,1 AVENUE,10003,2122540358,American,40.730832,-73.983177
41693343,STARBUCKS,BROOKLYN,620,ATLANTIC AVENUE,11217,7182300859,CafÃ©/Coffee/Tea,40.682777,-73.975402
41706054,STARBUCKS COFFEE,MANHATTAN,100,WEST 33 STREET,10001,2126954260,CafÃ©/Coffee/Tea,40.749386,-73.989107
41709714,STARBUCKS COFFEE,MANHATTAN,655,WEST 34 STREET,10001,2122162404,CafÃ©/Coffee/Tea,40.757097,-74.004435
41716906,STARBUCKS COFFEE,MANHATTAN,393,3 AVENUE,10016,2124814690,Café/Coffee/Tea,40.742263,-73.980867
41716909,STARBUCKS,STATEN ISLAND,106,PAGE AVENUE,10309,7183561090,Café/Coffee/Tea,40.52159,-74.234608
41716972,STARBUCKS COFFEE,MANHATTAN,200,LIBERTY STREET,10281,2125879512,Café/Coffee/Tea,40.711226,-74.01539
41721324,STARBUCKS COFFEE,MANHATTAN,822,LEXINGTON AVENUE,10065,2125720984,American,40.764783,-73.966143
50000395,STARBUCKS,BROOKLYN,164,PARK PLACE,11217,7186239419,Café/Coffee/Tea,40.677483,-73.972923
50000500,STARBUCKS COFFEE,MANHATTAN,625,8TH AVE,10018,2122739613,Café/Coffee/Tea,40.75615,-73.990841
50001820,STARBUCKS,QUEENS,NKA,JFK INTERNATIONAL AIRPORT,11430,7186790536,Café/Coffee/Tea,40.665967,-73.808061
50002119,STARBUCKS COFFEE,MANHATTAN,151,WEST 34TH STREET,10001,2122396524,Café/Coffee/Tea,40.751046,-73.99033
50002120,STARBUCKS COFFEE,MANHATTAN,99,WALL STREET,10005,2124871906,Café/Coffee/Tea,40.704847,-74.007187
50002593,STARBUCKS COFFEE,MANHATTAN,400,EAST 23RD STREET,10010,2126734213,Café/Coffee/Tea,40.740265,-73.987378
50002594,STARBUCKS,BROOKLYN,395,FLATBUSH AVE,11201,7188588070,Café/Coffee/Tea,40.689274,-73.980689
50002635,STARBUCKS COFFEE,MANHATTAN,250,W 57TH ST,10107,2125860940,Café/Coffee/Tea,40.766202,-73.982781
50002636,STARBUCKS,BROOKLYN,1417,KINGS HIGHWAY,11229,2126159700,Café/Coffee/Tea,40.608825,-73.958648
50002639,STARBUCKS COFFEE,MANHATTAN,515,MADISON AVE,10022,2126159700,Café/Coffee/Tea,40.759782,-73.973648
50004817,STARBUCKS,QUEENS,TERMINAL 5,JFK INTERNATIONAL AIRPORT,11430,7186790536,CafÃ©/Coffee/Tea,40.665967,-73.808061
50005011,STARBUCKS COFFEE,MANHATTAN,2621,BROADWAY,10025,2122223972,CafÃ©/Coffee/Tea,40.796804,-73.970599
50005414,STARBUCKS COFFEE,MANHATTAN,4761,BROADWAY,10034,2123043632,CafÃ©/Coffee/Tea,40.865798,-73.926981
50005906,STARBUCKS COFFEE,MANHATTAN,270,PARK AVE,10017,2122702624,CafÃ©/Coffee/Tea,40.755759,-73.975468
50008092,STARBUCKS COFFEE,MANHATTAN,666,5TH AVE,10103,2129562795,CafÃ©/Coffee/Tea,40.760356,-73.976243
50008135,STARBUCKS COFFEE,MANHATTAN,1542,3RD AVE,10028,2123692949,CafÃ©/Coffee/Tea,40.778587,-73.954388
50008583,STARBUCKS COFFEE,MANHATTAN,60,WALL ST,10005,3474614068,CafÃ©/Coffee/Tea,40.707141,-74.010843
50009335,STARBUCKS COFFEE,MANHATTAN,425,LEXINGTON AVE,10017,2129223589,CafÃ©/Coffee/Tea,40.752438,-73.974725
50009338,STARBUCKS,MANHATTAN,280,PARK AVE,10017,2126822586,CafÃ©/Coffee/Tea,40.756358,-73.974946
50010968,STARBUCKS,BRONX,440,E FORDHAM RD,10458,7182204920,CafÃ©/Coffee/Tea,40.861245,-73.887364
50010969,STARBUCKS COFFEE,MANHATTAN,32,AVE OF THE AMER,10013,2129660984,CafÃ©/Coffee/Tea,40.720084,-74.004989
50012723,STARBUCKS COFFEE,MANHATTAN,239,BLEECKER ST,10014,3302656777,CafÃ©/Coffee/Tea,40.730748,-74.002478
50012963,STARBUCKS,QUEENS,3018,ASTORIA BLVD,11102,7182781518,CafÃ©/Coffee/Tea,40.770261,-73.918334
50013019,STARBUCKS,BROOKLYN,405,UNION AVE,11211,2126159700,CafÃ©/Coffee/Tea,40.712531,-73.95121
50014899,STARBUCKS,BROOKLYN,5100,KINGS PLZ,11234,9292712767,CafÃ©/Coffee/Tea,40.609937,-73.921947
50015695,STARBUCKS,BROOKLYN,341,EASTERN PKWY,11216,2126159700,CafÃ©/Coffee/Tea,40.670895,-73.957273
50016157,STARBUCKS,QUEENS,13204,METROPOLITAN AVE,11418,7182628691,Café/Coffee/Tea,40.702853,-73.817572
50016536,STARBUCKS COFFEE,MANHATTAN,2,W 45TH ST,10036,2128690619,Café/Coffee/Tea,40.755427,-73.980174
50016987,STARBUCKS,BROOKLYN,154,N 7TH ST,11249,7183840152,Café/Coffee/Tea,40.718117,-73.957874
50017242,STARBUCKS,BROOKLYN,1608,SHORE PKWY SOUTH,11214,7182651069,Café/Coffee/Tea,40.5953,-74.000076
50018035,STARBUCKS,QUEENS,3805,MAIN ST,11354,7184450354,Café/Coffee/Tea,40.760697,-73.830512
50032681,STARBUCKS COFFEE,MANHATTAN,245,E 80TH ST,10075,2124727972,Café/Coffee/Tea,40.776933,-73.962078
50032708,STARBUCKS COFFEE,QUEENS,1,JFK INTL AIRPORT BLVD,11430,7186790452,American,40.665967,-73.808061
50033039,STARBUCKS COFFEE,MANHATTAN,1,NEW YORK PLZ,10004,2127858409,CafÃ©/Coffee/Tea,40.702357,-74.012161
50033040,STARBUCKS COFFEE,MANHATTAN,475,W 57TH ST,10019,2122475485,Café/Coffee/Tea,40.76923,-73.988118
50034907,STARBUCKS,BROOKLYN,228,DUFFIELD ST,11201,2122743026,Continental,40.691497,-73.984647
50035316,STARBUCKS COFFEE,MANHATTAN,875,3RD AVE,10022,2126159700,CafÃ©/Coffee/Tea,40.757108,-73.969571
50035375,STARBUCKS COFFEE,MANHATTAN,14,WALL ST,10005,6465966331,CafÃ©/Coffee/Tea,40.707407,-74.010884
50036218,STARBUCKS COFFEE,MANHATTAN,1700,BROADWAY,10019,2126159700,Sandwiches,40.763804,-73.982301
50036226,STARBUCKS,BROOKLYN,309,GOLD ST,11201,2126159700,Café/Coffee/Tea,40.695458,-73.983358
50036229,STARBUCKS COFFEE,MANHATTAN,11,PENN PLZ,10001,6465993512,Café/Coffee/Tea,40.749376,-73.991513
50036708,STARBUCKS,BROOKLYN,394,MYRTLE AVE,11205,3475870422,CafÃ©/Coffee/Tea,40.693027,-73.970139
50037368,STARBUCKS,BRONX,5520,BROADWAY,10463,6464559846,Café/Coffee/Tea,40.877663,-73.905964
50037369,STARBUCKS COFFEE,MANHATTAN,240,MANHATTAN AVE,10026,3476370214,Café/Coffee/Tea,40.801381,-73.959302
50039224,STARBUCKS COFFEE,MANHATTAN,525,W 26TH ST,10001,2126159700,CafÃ©/Coffee/Tea,40.750266,-74.003879
50039227,STARBUCKS,BRONX,260,E 161ST ST,10451,6468599582,CafÃ©/Coffee/Tea,40.825574,-73.918976
50039260,STARBUCKS COFFEE,MANHATTAN,140,E 45TH ST,10017,6466781753,CafÃ©/Coffee/Tea,40.752854,-73.973889
50039634,STARBUCKS COFFEE,MANHATTAN,47,W 66TH ST,10023,2124564274,Other,40.773157,-73.9798
50040555,STARBUCKS,MANHATTAN,185,W BROADWAY,10013,2124312877,Café/Coffee/Tea,40.718412,-74.002535
50040933,STARBUCKS,MANHATTAN,25,UNION SQ W,10003,6463366945,Café/Coffee/Tea,40.731802,-73.994376
50041280,STARBUCKS,QUEENS,329,WYCKOFF AVE,11385,3476685736,Café/Coffee/Tea,40.699811,-73.91133
50042223,STARBUCKS,QUEENS,9515,63RD DR,11374,2126159700,CafÃ©/Coffee/Tea,40.729512,-73.862536
50042556,STARBUCKS,MANHATTAN,350,5TH AVE,10118,2126159700,CafÃ©/Coffee/Tea,40.748163,-73.984996
50042765,STARBUCKS,MANHATTAN,5,E 40TH ST,10016,2126159700,CafÃ©/Coffee/Tea,40.751939,-73.981449
